area_fips,year,annual_avg_emplvl,avg_annual_pay
21033,1990,3514,14562
21035,1990,11134,16634
21037,1990,21200,19131
21039,1990,679,13922
21041,1990,4328,20935
21043,1990,4415,14070
21045,1990,2856,12932
21047,1990,23380,17119
21049,1990,9973,18877
21051,1990,3822,15454
21053,1990,2128,11866
21055,1990,1936,14591
21057,1990,1748,12152
21059,1990,34228,19089
21061,1990,1382,14295
21063,1990,468,14392
21065,1990,2146,14309
21067,1990,141054,22220
21069,1990,2987,14462
21071,1990,11397,18997
21073,1990,28162,20326
21075,1990,2916,14107
21077,1990,833,14080
21079,1990,2117,13569
21081,1990,3464,14931
21083,1990,10336,19434
21085,1990,5495,14234
21087,1990,2208,13909
21089,1990,8528,25258
21091,1990,3976,33742
21093,1990,31885,17749
21095,1990,9972,21753
21097,1990,4957,17985
21099,1990,2888,13677
21101,1990,17448,20622
21103,1990,2628,16441
21105,1990,1268,13086
21107,1990,17571,20416
21109,1990,1508,14137
21111,1990,371322,22192
21113,1990,7504,17772
21115,1990,5715,16481
21117,1990,46236,18379
21119,1990,2909,20868
21121,1990,6094,15276
21123,1990,2026,13740
21125,1990,15238,17107
21127,1990,2312,17316
21129,1990,1491,13941
21131,1990,2941,22195
21133,1990,6396,20071
21135,1990,2396,12711
21137,1990,2389,14077
21139,1990,1586,16568
21141,1990,8064,17819
21143,1990,1761,14357
21145,1990,31627,19360
21147,1990,2076,13368
21149,1990,1639,14320
21151,1990,19821,17190
21153,1990,1896,15936
21155,1990,3731,14713
21157,1990,9166,23971
21159,1990,3124,32037
21161,1990,7674,17164
21163,1990,2748,19452
21165,1990,570,13887
21167,1990,5506,17308
21169,1990,2486,11979
21171,1990,3657,12772
21173,1990,6389,16356
21175,1990,2241,15595
21177,1990,8799,21641
21179,1990,9415,17071
21181,1990,1606,14841
21183,1990,4860,16916
21185,1990,8216,16722
21187,1990,1562,16133
21189,1990,478,14134
21191,1990,2140,15733
21193,1990,10045,21551
21195,1990,21120,21293
21197,1990,2165,14755
21199,1990,18330,15762
21201,1990,168,14206
21203,1990,3092,12983
21205,1990,6945,15987
21207,1990,6606,13852
21209,1990,10710,24117
21211,1990,9106,17435
21213,1990,6794,19460
21215,1990,825,14090
21217,1990,9720,16349
21219,1990,2647,13723
21221,1990,2637,15982
21223,1990,1209,24351
21225,1990,6451,24696
21227,1990,35637,18099
21229,1990,2115,14027
21231,1990,4339,12851
21233,1990,4221,24371
21235,1990,9816,16950
21237,1990,859,14129
21239,1990,8461,20356
22001,1990,12008,15191
22003,1990,4462,16323
22005,1990,20764,24618
22007,1990,4899,18451
22009,1990,7895,12436
22011,1990,7022,21108
22013,1990,3843,16638
22015,1990,23455,16575
22017,1990,104278,21266
22019,1990,65666,21949
22021,1990,2019,16329
22023,1990,3915,23923
22025,1990,1913,14277
22027,1990,4011,16944
22029,1990,4581,15055
22031,1990,5048,19065
22033,1990,191254,21602
22035,1990,2095,13366
22037,1990,4261,18056
22039,1990,6769,15186
22041,1990,4584,13584
22043,1990,2773,14709
22045,1990,23976,18606
22047,1990,12889,29855
22049,1990,3709,21270
22051,1990,180314,19961
22053,1990,6989,15109
22055,1990,83945,21733
22057,1990,22007,18957
22059,1990,3849,16550
22061,1990,14047,18265
22063,1990,8680,14664
22065,1990,2658,13506
22067,1990,8118,17930
22069,1990,9561,15775
22071,1990,268233,23023
22073,1990,55625,19744
